Series,Rodet Diameter,Bandes,velocitat,power,Re,Np,logRe,logNp,Circular,Disc,Helix,Turbina
D1.1,0.078,0,10.0,21.0,764705.8823529411,7.273547532408683,13.547246571369595,1.9842441412218754,0,1,0,0
D1.1,0.078,0,11.666666666666666,23.0,892156.862745098,5.016657523393912,13.701397251196854,1.6127638799458275,0,1,0,0
D1.1,0.078,0,18.333333333333332,31.5,1401960.7843137253,1.7705705488357735,14.15338237493991,0.5713018386190937,0,1,0,0
D1.1,0.078,0,20.0,34.0,1529411.7647058822,1.4720274767969954,14.24039375192954,0.3866406864347779,0,1,0,0
D1.1,0.078,0,1.6666666666666667,12.0,127450.98039215685,897.7635811430144,11.75548710214154,6.799906760970617,0,1,0,0
D1.1,0.078,0,3.3333333333333335,14.0,254901.9607843137,130.92385558335627,12.448634282701486,4.87461589911804,0,1,0,0
D1.1,0.078,0,5.0,16.0,382352.94117647054,44.33400400706245,12.85409939080965,3.7917519674180697,0,1,0,0
D1.1,0.078,0,6.666666666666667,17.0,509803.9215686274,19.872370936759435,13.141781463261431,2.9893303718791615,0,1,0,0
D1.1,0.078,0,8.333333333333334,18.5,637254.9019607842,11.072417500763846,13.36492501457564,2.4044571059645956,0,1,0,0
D1.1,0.078,0,10.0,20.5,764705.8823529411,7.100367829256095,13.547246571369595,1.960146589642815,0,1,0,0
D1.1,0.078,0,11.666666666666666,23.0,892156.862745098,5.016657523393912,13.701397251196854,1.6127638799458275,0,1,0,0
D1.1,0.078,0,18.333333333333332,32.0,1401960.7843137253,1.798674843261738,14.15338237493991,0.5870501955872328,0,1,0,0
D1.1,0.078,0,20.0,34.0,1529411.7647058822,1.4720274767969954,14.24039375192954,0.3866406864347779,0,1,0,0
D1.2,0.078,4,1.6666666666666667,12.0,127450.98039215685,897.7635811430144,11.75548710214154,6.799906760970617,0,1,0,0
D1.2,0.078,4,3.3333333333333335,13.75,254901.9607843137,128.58592959079635,12.448634282701486,4.8565973936153615,0,1,0,0
D1.2,0.078,4,5.0,17.0,382352.94117647054,47.10487925750385,12.85409939080965,3.8523765892345043,0,1,0,0
D1.2,0.078,4,6.666666666666667,19.0,509803.9215686274,22.21029692931937,13.141781463261431,3.100556006989386,0,1,0,0
D1.2,0.078,4,8.333333333333334,21.0,637254.9019607842,12.568690136002203,13.36492501457564,2.5312088116037392,0,1,0,0
D1.2,0.078,4,10.0,23.0,764705.8823529411,7.966266345019034,13.547246571369595,2.075215919427602,0,1,0,0
D1.2,0.078,4,11.666666666666666,25.0,892156.862745098,5.452888612384686,13.701397251196854,1.6961454888848784,0,1,0,0
D1.2,0.078,4,18.333333333333332,35.0,1401960.7843137253,1.967300609817526,14.15338237493991,0.67666235427692,0,1,0,0
D1.2,0.078,4,20.0,38.5,1529411.7647058822,1.6668546428436566,14.24039375192954,0.510938403112355,0,1,0,0
D1.2,0.078,4,1.6666666666666667,12.5,127450.98039215685,935.1703970239735,11.75548710214154,6.840728755490873,0,1,0,0
D1.2,0.078,4,3.3333333333333335,15.0,254901.9607843137,140.27555955359603,12.448634282701486,4.943608770604992,0,1,0,0
D1.2,0.078,4,5.0,16.0,382352.94117647054,44.33400400706245,12.85409939080965,3.7917519674180697,0,1,0,0
D1.2,0.078,4,6.666666666666667,17.5,509803.9215686274,20.456852434899417,13.141781463261431,3.018317908752414,0,1,0,0
D1.2,0.078,4,8.333333333333334,20.0,637254.9019607842,11.97018108190686,13.36492501457564,2.482418647434307,0,1,0,0
D1.2,0.078,4,10.0,22.0,764705.8823529411,7.619906938713858,13.547246571369595,2.030764156856768,0,1,0,0
D1.2,0.078,4,11.666666666666666,25.5,892156.862745098,5.56194638463238,13.701397251196854,1.7159481161810581,0,1,0,0
D1.2,0.078,4,18.333333333333332,36.0,1401960.7843137253,2.0235091986694553,14.15338237493991,0.7048332312436163,0,1,0,0
D1.2,0.078,4,20.0,38.5,1529411.7647058822,1.6668546428436566,14.24039375192954,0.510938403112355,0,1,0,0
D1.2,0.078,4,1.6666666666666667,7.6,127450.98039215685,568.5836013905758,11.75548710214154,6.343148358474902,0,1,0,0
D1.2,0.078,4,3.3333333333333335,9.0,254901.9607843137,84.1653357321576,12.448634282701486,4.432783146839001,0,1,0,0
D1.2,0.078,4,5.0,11.0,382352.94117647054,30.479627754855432,12.85409939080965,3.417058517976659,0,1,0,0
D1.2,0.078,4,6.666666666666667,13.0,509803.9215686274,15.196518951639568,13.141781463261431,2.721066385284482,0,1,0,0
D1.2,0.078,4,8.333333333333334,15.0,637254.9019607842,8.977635811430146,13.36492501457564,2.1947365749825263,0,1,0,0
D1.2,0.078,4,10.0,17.0,764705.8823529411,5.888109907187982,13.547246571369595,1.7729350475546686,0,1,0,0
D1.2,0.078,4,11.666666666666666,20.0,892156.862745098,4.362310889907749,13.701397251196854,1.4730019375706687,0,1,0,0
D1.2,0.078,4,18.333333333333332,28.4,1401960.7843137253,1.5963239233947923,14.15338237493991,0.4677034379546665,0,1,0,0
D1.2,0.078,4,1.6666666666666667,7.8,127450.98039215685,583.5463277429594,11.75548710214154,6.369123844878163,0,1,0,0
D1.2,0.078,4,3.3333333333333335,9.0,254901.9607843137,84.1653357321576,12.448634282701486,4.432783146839001,0,1,0,0
D1.2,0.078,4,5.0,11.0,382352.94117647054,30.479627754855432,12.85409939080965,3.417058517976659,0,1,0,0
D1.2,0.078,4,6.666666666666667,13.0,509803.9215686274,15.196518951639568,13.141781463261431,2.721066385284482,0,1,0,0
D1.2,0.078,4,8.333333333333334,15.0,637254.9019607842,8.977635811430146,13.36492501457564,2.1947365749825263,0,1,0,0
D1.2,0.078,4,10.0,17.0,764705.8823529411,5.888109907187982,13.547246571369595,1.7729350475546686,0,1,0,0
D1.2,0.078,4,11.666666666666666,20.0,892156.862745098,4.362310889907749,13.701397251196854,1.4730019375706687,0,1,0,0
D1.2,0.078,4,18.333333333333332,28.4,1401960.7843137253,1.5963239233947923,14.15338237493991,0.4677034379546665,0,1,0,0
D1.2,0.078,4,1.6666666666666667,12.0,127450.98039215685,897.7635811430144,11.75548710214154,6.799906760970617,0,1,0,0
D1.2,0.078,4,3.3333333333333335,13.75,254901.9607843137,128.58592959079635,12.448634282701486,4.8565973936153615,0,1,0,0
D1.2,0.078,4,5.0,17.0,382352.94117647054,47.10487925750385,12.85409939080965,3.8523765892345043,0,1,0,0
D1.2,0.078,4,6.666666666666667,19.0,509803.9215686274,22.21029692931937,13.141781463261431,3.100556006989386,0,1,0,0
D1.2,0.078,4,8.333333333333334,21.0,637254.9019607842,12.568690136002203,13.36492501457564,2.5312088116037392,0,1,0,0
D1.2,0.078,4,10.0,23.0,764705.8823529411,7.966266345019034,13.547246571369595,2.075215919427602,0,1,0,0
D1.2,0.078,4,11.666666666666666,25.0,892156.862745098,5.452888612384686,13.701397251196854,1.6961454888848784,0,1,0,0
D1.2,0.078,4,18.333333333333332,35.0,1401960.7843137253,1.967300609817526,14.15338237493991,0.67666235427692,0,1,0,0
D1.2,0.078,4,20.0,38.5,1529411.7647058822,1.6668546428436566,14.24039375192954,0.510938403112355,0,1,0,0
D1.2,0.078,4,1.6666666666666667,12.5,127450.98039215685,935.1703970239735,11.75548710214154,6.840728755490873,0,1,0,0
D1.2,0.078,4,3.3333333333333335,15.0,254901.9607843137,140.27555955359603,12.448634282701486,4.943608770604992,0,1,0,0
D1.2,0.078,4,5.0,16.0,382352.94117647054,44.33400400706245,12.85409939080965,3.7917519674180697,0,1,0,0
D1.2,0.078,4,6.666666666666667,17.5,509803.9215686274,20.456852434899417,13.141781463261431,3.018317908752414,0,1,0,0
D1.2,0.078,4,8.333333333333334,20.0,637254.9019607842,11.97018108190686,13.36492501457564,2.482418647434307,0,1,0,0
D1.2,0.078,4,10.0,22.0,764705.8823529411,7.619906938713858,13.547246571369595,2.030764156856768,0,1,0,0
D1.2,0.078,4,11.666666666666666,25.5,892156.862745098,5.56194638463238,13.701397251196854,1.7159481161810581,0,1,0,0
D1.2,0.078,4,18.333333333333332,36.0,1401960.7843137253,2.0235091986694553,14.15338237493991,0.7048332312436163,0,1,0,0
D1.2,0.078,4,20.0,38.5,1529411.7647058822,1.6668546428436566,14.24039375192954,0.510938403112355,0,1,0,0
D1.1,0.078,0,1.6666666666666667,7.8,127450.98039215685,583.5463277429594,11.75548710214154,6.369123844878163,0,1,0,0
D1.1,0.078,0,3.3333333333333335,9.0,254901.9607843137,84.1653357321576,12.448634282701486,4.432783146839001,0,1,0,0
D1.1,0.078,0,5.0,11.0,382352.94117647054,30.479627754855432,12.85409939080965,3.417058517976659,0,1,0,0
D1.1,0.078,0,6.666666666666667,13.0,509803.9215686274,15.196518951639568,13.141781463261431,2.721066385284482,0,1,0,0
D1.1,0.078,0,8.333333333333334,15.0,637254.9019607842,8.977635811430146,13.36492501457564,2.1947365749825263,0,1,0,0
D1.1,0.078,0,10.0,17.0,764705.8823529411,5.888109907187982,13.547246571369595,1.7729350475546686,0,1,0,0
D1.1,0.078,0,11.666666666666666,19.0,892156.862745098,4.144195345412362,13.701397251196854,1.421708643183118,0,1,0,0
D1.1,0.078,0,18.333333333333332,28.0,1401960.7843137253,1.5738404878540209,14.15338237493991,0.45351880296271024,0,1,0,0
D1.1,0.078,0,1.6666666666666667,7.8,127450.98039215685,583.5463277429594,11.75548710214154,6.369123844878163,0,1,0,0
D1.1,0.078,0,3.3333333333333335,9.0,254901.9607843137,84.1653357321576,12.448634282701486,4.432783146839001,0,1,0,0
D1.1,0.078,0,5.0,11.0,382352.94117647054,30.479627754855432,12.85409939080965,3.417058517976659,0,1,0,0
D1.1,0.078,0,6.666666666666667,13.0,509803.9215686274,15.196518951639568,13.141781463261431,2.721066385284482,0,1,0,0
D1.1,0.078,0,8.333333333333334,15.0,637254.9019607842,8.977635811430146,13.36492501457564,2.1947365749825263,0,1,0,0
D1.1,0.078,0,10.0,17.0,764705.8823529411,5.888109907187982,13.547246571369595,1.7729350475546686,0,1,0,0
D1.1,0.078,0,11.666666666666666,19.0,892156.862745098,4.144195345412362,13.701397251196854,1.421708643183118,0,1,0,0
D1.1,0.078,0,18.333333333333332,28.0,1401960.7843137253,1.5738404878540209,14.15338237493991,0.45351880296271024,0,1,0,0
D1.1,0.078,0,1.6666666666666667,13.0,127450.98039215685,972.5772129049324,11.75548710214154,6.8799494686441545,0,1,0,0
D1.1,0.078,0,3.3333333333333335,13.5,254901.9607843137,126.24800359823641,12.448634282701486,4.838248254947165,0,1,0,0
D1.1,0.078,0,5.0,15.5,382352.94117647054,42.94856638184175,12.85409939080965,3.7600032691034895,0,1,0,0
D1.1,0.078,0,6.666666666666667,18.5,509803.9215686274,21.625815431179387,13.141781463261431,3.0738877599072247,0,1,0,0
D1.1,0.078,0,8.333333333333334,21.0,637254.9019607842,12.568690136002203,13.36492501457564,2.5312088116037392,0,1,0,0
D1.1,0.078,0,10.0,23.5,764705.8823529411,8.13944604817162,13.547246571369595,2.0967221246485654,0,1,0,0
D1.1,0.078,0,11.666666666666666,25.0,892156.862745098,5.452888612384686,13.701397251196854,1.6961454888848784,0,1,0,0
D1.1,0.078,0,18.333333333333332,35.0,1401960.7843137253,1.967300609817526,14.15338237493991,0.67666235427692,0,1,0,0
D1.1,0.078,0,20.0,38.5,1529411.7647058822,1.6668546428436566,14.24039375192954,0.510938403112355,0,1,0,0
D1.1,0.078,0,1.6666666666666667,12.0,127450.98039215685,897.7635811430144,11.75548710214154,6.799906760970617,0,1,0,0
D1.1,0.078,0,3.3333333333333335,15.0,254901.9607843137,140.27555955359603,12.448634282701486,4.943608770604992,0,1,0,0
D1.1,0.078,0,5.0,16.5,382352.94117647054,45.71944163228315,12.85409939080965,3.8225236260848234,0,1,0,0
D1.1,0.078,0,6.666666666666667,17.5,509803.9215686274,20.456852434899417,13.141781463261431,3.018317908752414,0,1,0,0
D1.1,0.078,0,8.333333333333334,20.0,637254.9019607842,11.97018108190686,13.36492501457564,2.482418647434307,0,1,0,0
D1.1,0.078,0,10.0,22.5,764705.8823529411,7.793086641866446,13.547246571369595,2.0532370127088266,0,1,0,0
